"","","","","","","","","代理业务收支统计表"
"","","","","","","","","","","","","","表号:集团(业)统表二"
"报告单位:","集团公司","","","","","报告期间:","2023-01-01至2023-12-31","","","","件数单位：件","金额单位：元"
"险种来源","险种代码","险种名称","数据来源","保费收入","","赔款支出","","死亡/伤残/医疗给付","","满期给付","","年金给付","","解约给付"
"总颁险种","W08","养老金还本保险（试行办法）","PICC1","474","575809.0000000001","0","0","70","588391.1699999999","0","0","35315","13574551.339999808","3","76138.73"
"总颁险种","Y05","鸿寿养老金保险(97版)","PICC3","0","0","0","0","10","204100","0","0","1269","9794260.68","11","984952"
"总颁险种","Y06","个人养老金保险(97版)","PICC3","52","23200.649999999994","0","0","0","0","0","0","9456","508389.66999999713","0","0"
"总颁险种","Y07","养老金还本保险(97版)","PICC3","153","214010.98","0","0","9","67819.25","0","0","6621","1444905.7700000075","0","0"
"总颁险种","Y08","团体福利保险(97版)","PICC3","0","0","0","0","0","0","0","0","11","13009.050000000003","0","0"
"总颁险种","Y09","鸿寿养老金保险 (98版  利差返还型)","PICC3","0","0","0","0","9","93313.6","0","0","1427","16998431.1199999","12","488470"
"总颁险种","Y10","个人养老金A型保险(98版 利差返还型)","PICC3","159","18889.599999999995","0","0","10","42620.950000000004","0","0","20889","5820955.390000034","10","26798.91"
"总颁险种","Y11","个人养老金B型保险(98版 利差返还型)","PICC3","0","0","0","0","0","0","0","0","211","8564.939999999993","0","0"
"总颁险种","Y12","养老金还本保险(98版 利差返还型)","PICC3","26","35347.58","0","0","0","0","0","0","862","216619.98000000027","0","0"
"总颁险种","YA5","鸿寿养老金保险","PICC3","0","0","0","0","0","0","0","0","6","114080","0","0"
"地方险种","K04","(宁波)递增型养老保险","PICC3","166","67806","0","0","4","207000","0","0","13401","7234386.47","6","418890"
"地方险种","T14","独生子女平安险","PICC1","0","0","0","0","0","0","3","11540.67","0","0","2","779"
"地方险种","T41","子女教育婚嫁金保险","PICC1","9","900","0","0","0","0","0","0","0","0","98","45449"
"地方险种","TA1","金婚银婚保险","PICC1","0","0","0","0","16","12500","14","32244","0","0","0","0"
"地方险种","Z52","个人养老金保险(地方11%)","PICC1","0","0","0","0","0","0","0","0","2","989.52","0","0"
"地方险种","Z54","农村养老金保险","PICC1","0","0","0","0","0","0","0","0","12","1224","0","0"
"地方险种","Z55","养老金附加丧葬费保险","PICC1","0","0","0","0","15","6573.2300000000005","0","0","0","0","0","0"
"地方险种","Z56","村干部养老金(11.4)","PICC1","0","0","0","0","0","0","0","0","30","6060.059999999998","0","0"
"地方险种","Z57","村干部养老金","PICC1","3","480","0","0","0","0","0","0","44471","4417990.199999925","5","21879.91"
"地方险种","Z58","双农独女户养老金","PICC1","0","0","0","0","0","0","0","0","4493","707029.1099999939","5","2958.67"
"地方险种","Z59","独生子女养老金保险","PICC1","0","0","0","0","0","0","0","0","0","0","5","9194.46"
"地方险种","Z5A","独生子女父母养老金","PICC1","1542","75363.48","0","0","0","0","0","0","31303","4675366.159999954","49","54158.979999999996"
"地方险种","Z5C","义务兵养老金保险(8.8%)","PICC1","0","0","0","0","0","0","0","0","2777","998463.0000000268","3","12376.29"
"地方险种","Z81","(农民)养老金还本保险","PICC1","0","0","0","0","0","0","0","0","264","67219.08","0","0"
