"","","","","","","","","代理业务件数统计表"
"","","","","","","","","","","","","","表号:集团(业)统表一"
"报告单位:","集团公司","","","","","报告期间:","2023-01-01至2023-12-31","","","","","","单位:件"
"险种来源","险种代码","险种名称","数据来源","期初","","","","","本期","","","","","","","","期末"
"","","","","保有","有效","满期","失效","失效终止","补录新增","复效","失效","满期","满期终止","解约终止","失效终止","其他终止","保有","有效","满期","失效","失效终止"
"总颁险种","Y10","个人养老金A型保险(98版 利差返还型)","PICC3","12125","11786","1","1","337","0","0","0","0","16","100","1","12","11834","11498","1","0","335"
"总颁险种","Y11","个人养老金B型保险(98版 利差返还型)","PICC3","160","148","0","0","12","0","0","0","0","0","0","0","0","160","148","0","0","12"
"总颁险种","Y12","养老金还本保险(98版 利差返还型)","PICC3","146","126","0","0","20","0","0","0","0","0","0","0","0","147","127","0","0","20"
"总颁险种","Y13","义务兵养老保险(98版 利差返还型)","PICC3","60","60","0","0","0","0","0","0","0","0","0","0","0","60","60","0","0","0"
"总颁险种","YA5","鸿寿养老金保险","PICC3","35","35","0","0","0","0","0","0","0","0","0","0","0","35","35","0","0","0"
"地方险种","K04","(宁波)递增型养老保险","PICC3","2824","2661","0","3","160","0","4","2","0","0","5","0","5","2814","2653","0","3","158"
"地方险种","N09","潇洒明天--增额终身人寿保险(宁波97版)","PICC3","30","28","0","2","0","0","0","0","0","0","0","0","0","30","28","0","2","0"
"地方险种","T12","三年五年定期简易人身保险","PICC1","1795","0","1793","0","2","0","0","0","0","0","0","0","0","1795","0","1793","0","2"
"地方险种","T14","独生子女平安险","PICC1","2515","0","295","0","2220","0","0","0","0","0","2","0","0","2510","0","292","0","2218"
"地方险种","T17","老人福寿保险","PICC1","34","34","0","0","0","0","0","0","0","0","0","0","0","34","34","0","0","0"
"地方险种","T18","定期定额人身意外保险","PICC1","998","1","997","0","0","0","0","0","0","0","0","0","0","998","1","997","0","0"
"地方险种","T21","子女安康保险","PICC1","2757","0","2757","0","0","0","0","0","0","0","0","0","0","2757","0","2757","0","0"
"地方险种","T22","生育妇女平安保险","PICC1","43","1","42","0","0","0","0","0","0","0","0","0","0","43","1","42","0","0"
"地方险种","T41","子女教育婚嫁金保险","PICC1","46136","0","5003","72","41061","2","0","0","0","11","96","0","0","45924","0","4895","0","41029"
"地方险种","TA1","金婚银婚保险","PICC1","4347","4344","3","0","0","3","0","0","2","9","0","0","12","4326","4321","5","0","0"
"地方险种","Z52","个人养老金保险(地方11%)","PICC1","2","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"地方险种","Z54","农村养老金保险","PICC1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0"
"地方险种","Z55","养老金附加丧葬费保险","PICC1","2520","2311","0","1","208","7","0","0","0","0","1","0","12","2515","2306","0","1","208"
"地方险种","Z56","村干部养老金(11.4)","PICC1","3","3","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0"
"地方险种","Z57","村干部养老金","PICC1","12995","12864","1","0","130","0","0","0","0","14","205","0","29","12746","12616","0","0","130"
"地方险种","Z58","双农独女户养老金","PICC1","3627","3623","2","0","2","4","0","0","0","23","10","0","7","3590","3587","2","0","1"
"地方险种","Z59","独生子女养老金保险","PICC1","16185","16185","0","0","0","1","0","0","0","0","5","0","0","16183","16183","0","0","0"
"地方险种","Z5A","独生子女父母养老金","PICC1","56854","38064","1","72","18717","47","7","39","0","42","87","23","15","56794","38098","1","72","18623"
"地方险种","Z5B","义务兵养老金保险(11.4%)","PICC1","2","2","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0"
"地方险种","Z5C","义务兵养老金保险(8.8%)","PICC1","11644","11644","0","0","0","2","0","0","0","0","3","0","1","11640","11640","0","0","0"
"地方险种","Z81","(农民)养老金还本保险","PICC1","28","28","0","0","0","1","0","0","0","0","0","0","0","29","29","0","0","0"
